test_id,obs_l,obs_w,obs_h,obs_x,obs_y,obs_z,obs_r,distanza_minima_m,landato,timeout,durata_s,errore
mission_0001,5.24,5.9,3.87,-6.44,3.19,0.0,111.1,1.193,True,False,143.4,
mission_0002,5.47,5.37,4.77,-9.71,5.89,0.0,20.7,2.253,True,False,134.6,
mission_0003,4.44,4.4,3.53,-11.11,-0.52,0.0,70.3,2.65,True,False,131.1,
mission_0004,4.56,5.36,4.42,-5.45,2.64,0.0,125.7,1.203,True,False,136.9,
mission_0005,5.88,5.44,3.15,-8.27,0.9,0.0,177.5,1.428,True,False,134.0,
mission_0006,5.17,4.94,4.74,-10.6,4.38,0.0,23.2,1.989,True,False,146.4,
mission_0007,4.34,5.05,3.74,-5.94,0.51,0.0,175.4,0.57,True,False,120.0,
mission_0008,5.46,5.1,4.38,-6.51,1.17,0.0,129.7,1.213,True,False,142.8,
mission_0009,4.77,5.67,3.92,-11.75,-0.07,0.0,98.2,2.423,True,False,131.9,
mission_0010,3.42,5.36,4.89,-10.49,2.96,0.0,150.2,1.204,True,False,128.4,
mission_0011,5.68,5.34,4.08,-9.76,4.25,0.0,25.3,1.828,True,False,149.6,
mission_0012,3.54,3.52,4.73,-9.9,2.22,0.0,145.8,1.671,True,False,125.9,
mission_0013,3.03,5.16,3.0,-9.99,-0.64,0.0,169.9,2.56,True,False,118.2,
mission_0014,3.73,4.04,4.29,-5.47,1.09,0.0,48.9,1.015,True,False,110.3,
mission_0015,3.92,3.14,3.15,-8.95,1.23,0.0,133.8,1.523,True,False,128.5,
mission_0016,3.04,4.66,3.0,-9.41,5.81,0.0,129.9,2.37,True,False,71.5,
mission_0017,3.06,5.62,4.9,-10.22,0.47,0.0,15.6,1.7,True,False,128.0,
mission_0018,5.16,5.64,4.71,-7.68,2.3,0.0,127.9,0.84,True,False,134.8,
mission_0019,3.07,5.36,4.3,-8.59,-1.05,0.0,109.2,2.252,True,False,134.4,
mission_0020,3.22,4.15,4.48,-6.27,-0.53,0.0,48.6,2.192,True,False,150.6,
mission_0021,4.45,4.45,3.47,-10.98,4.82,0.0,67.1,1.346,True,False,124.0,
mission_0022,3.24,4.45,3.54,-11.54,3.1,0.0,27.3,2.325,True,False,85.3,
mission_0023,5.34,4.25,3.96,-5.94,0.19,0.0,151.8,1.575,True,False,129.7,
mission_0024,5.08,3.11,3.46,-11.83,5.88,0.0,26.4,1.942,True,False,70.1,
mission_0025,4.71,3.26,3.11,-11.66,5.74,0.0,85.9,1.457,True,False,86.8,
mission_0026,4.68,3.53,3.37,-7.49,1.04,0.0,164.6,1.578,True,False,125.0,
mission_0027,4.99,4.69,4.57,-6.65,-0.64,0.0,145.1,1.854,True,False,119.6,
mission_0028,3.46,4.47,4.92,-7.63,-0.71,0.0,125.0,2.304,True,False,119.1,
mission_0029,5.2,4.12,4.68,-11.7,3.85,0.0,120.1,1.062,True,False,130.3,
mission_0030,3.25,4.73,4.36,-5.3,2.92,0.0,73.0,1.626,True,False,142.2,
mission_0031,3.59,4.65,3.09,-7.79,1.18,0.0,45.6,1.344,True,False,130.3,
mission_0032,3.81,4.17,4.54,-11.38,0.54,0.0,2.4,2.843,True,False,137.1,
mission_0033,4.61,3.4,3.24,-5.64,1.93,0.0,46.8,0.07,True,False,134.9,
mission_0034,4.72,5.2,3.63,-5.34,0.16,0.0,96.2,0.078,True,False,132.6,
mission_0035,3.38,3.38,3.41,-8.7,-0.92,0.0,89.7,2.722,True,False,92.4,
mission_0036,5.42,4.11,4.74,-8.22,5.53,0.0,55.6,2.559,True,False,131.8,
mission_0037,3.04,5.2,3.82,-10.73,2.02,0.0,122.1,1.419,True,False,133.0,
mission_0038,5.1,5.4,4.47,-5.85,4.02,0.0,52.8,,,False,146.5,no_log_saved
mission_0039,4.27,5.65,3.74,-5.07,-1.67,0.0,45.9,1.477,True,False,146.6,
mission_0040,3.43,5.81,4.5,-8.88,-1.16,0.0,101.1,2.942,True,False,136.6,
mission_0041,5.53,3.87,3.9,-5.85,-1.76,0.0,16.1,1.188,True,False,111.0,
mission_0042,4.83,5.42,3.02,-6.42,2.38,0.0,27.6,0.344,True,False,155.6,
mission_0043,3.79,3.76,3.61,-6.36,2.56,0.0,156.2,1.423,True,False,145.5,
mission_0044,5.31,3.14,3.11,-11.78,-1.17,0.0,7.2,3.703,True,False,118.3,
mission_0045,4.04,3.19,4.19,-9.49,2.01,0.0,87.0,1.307,True,False,130.7,
mission_0046,4.95,5.44,4.65,-7.05,1.86,0.0,93.3,1.012,True,False,141.9,
mission_0047,5.3,4.29,4.83,-8.43,4.32,0.0,174.3,1.652,True,False,147.2,
mission_0048,4.21,5.18,4.68,-6.39,1.57,0.0,13.9,0.625,True,False,140.5,
mission_0049,4.99,4.62,3.29,-5.19,1.78,0.0,125.1,0.128,True,False,127.8,
mission_0050,5.74,3.99,4.01,-7.8,4.48,0.0,23.9,1.897,True,False,144.9,
