test_id,obs_l,obs_w,obs_h,obs_x,obs_y,obs_z,obs_r,distanza_minima_m,landato,timeout,durata_s,errore
mission_0001,4.92,3.08,3.55,-10.44,3.89,0.0,121.8,0.612,True,False,130.3,
mission_0002,5.68,3.26,3.84,-11.79,-0.25,0.0,91.0,3.043,True,False,136.2,
mission_0003,3.08,3.6,4.3,-8.19,-0.24,0.0,106.1,2.158,True,False,89.4,
mission_0004,5.43,3.02,4.61,-7.11,0.72,0.0,28.0,1.132,True,False,132.5,
mission_0005,5.87,4.01,3.19,-11.32,4.78,0.0,108.7,0.773,True,False,121.3,
mission_0006,5.42,5.19,4.07,-5.19,1.03,0.0,99.4,0.0,True,False,144.8,
mission_0007,5.49,4.86,4.72,-7.96,3.64,0.0,8.2,1.431,True,False,135.6,
mission_0008,3.68,3.87,3.16,-10.37,-1.19,0.0,50.0,4.201,True,False,79.6,
mission_0009,4.91,4.09,3.74,-10.53,0.14,0.0,168.6,2.249,True,False,122.6,
mission_0010,4.94,4.83,3.34,-6.9,-0.69,0.0,68.3,2.203,True,False,128.5,
mission_0011,5.97,4.92,4.11,-7.21,4.74,0.0,139.7,2.06,True,False,137.8,
mission_0012,3.69,3.1,3.63,-10.13,-0.31,0.0,169.7,3.688,True,False,77.8,
mission_0013,5.63,3.94,4.31,-9.23,5.32,0.0,82.6,1.734,True,False,146.5,
mission_0014,3.79,3.74,4.12,-10.16,2.68,0.0,161.6,1.371,True,False,118.6,
mission_0015,4.2,3.66,5.0,-8.43,-1.27,0.0,8.5,2.614,True,False,78.9,
mission_0016,3.33,4.88,4.58,-9.04,-1.49,0.0,68.7,4.453,True,False,86.2,
mission_0017,5.99,4.59,4.94,-5.97,-1.91,0.0,129.7,1.893,True,False,104.5,
mission_0018,5.05,4.61,3.53,-7.51,-1.11,0.0,78.3,1.386,True,False,87.2,
mission_0019,4.36,5.86,4.75,-10.16,2.0,0.0,32.2,1.021,True,False,127.5,
mission_0020,5.74,5.61,3.6,-7.53,2.87,0.0,27.5,0.944,True,False,136.8,
mission_0021,5.29,4.62,4.56,-8.29,-2.0,0.0,58.3,3.428,True,False,128.4,
mission_0022,3.06,5.79,4.76,-6.18,0.46,0.0,10.4,0.925,True,False,144.5,
mission_0023,5.63,5.84,3.17,-8.6,-1.45,0.0,136.9,2.479,True,False,98.1,
mission_0024,5.3,3.39,3.95,-8.15,0.12,0.0,157.0,2.732,True,False,124.3,
