rank,pred_dist_m,obs_l,obs_w,obs_h,obs_x,obs_y,obs_r,obs_z,distanza_reale_m,landato,collisione_reale,errore_surrogato_m,timeout,durata_s,errore
1,0.0,4.447,5.7768,3.0,-6.8014,2.1981,48.9506,0.0,0.43,True,False,0.43,False,123.8,
2,0.0,5.5347,5.9712,3.0279,-5.8742,1.7355,172.6353,0.0,0.342,True,False,0.342,False,127.8,
3,0.0,3.7175,5.9501,3.0228,-5.7635,2.2718,175.5751,0.0,0.0,True,True,0.0,False,150.8,
4,0.0891,4.7719,5.9631,3.0221,-5.59,1.933,116.8621,0.0,0.157,True,False,0.068,False,131.0,
5,0.1347,4.544,5.9962,3.0606,-5.8774,0.669,177.2292,0.0,0.669,True,False,0.534,False,134.6,
6,0.0066,4.5798,5.9549,3.0355,-5.811,1.9286,0.0,0.0,0.0,True,True,0.007,False,137.6,
7,0.5366,4.861,5.884,3.0399,-5.8675,3.3815,169.4088,0.0,0.74,True,False,0.203,False,121.2,
8,0.105,4.971,5.7974,3.0296,-7.208,2.0088,177.2573,0.0,0.922,True,False,0.817,False,122.0,
9,0.0117,4.6842,5.4412,3.0612,-6.026,1.6706,155.7473,0.0,0.215,True,False,0.203,False,144.2,
10,0.0,4.3573,5.7377,3.0275,-5.7983,2.4052,179.386,0.0,0.0,True,True,0.0,False,148.1,
11,0.0,4.8906,5.9642,3.0194,-5.8171,2.2028,32.6322,0.0,0.0,True,True,0.0,False,128.7,
12,0.0,4.9041,5.7695,3.0232,-5.4411,1.808,179.2716,0.0,0.0,True,True,0.0,False,130.5,
13,0.0,4.4723,5.9448,3.0456,-5.8131,2.0662,140.9241,0.0,0.193,True,False,0.193,False,145.6,
14,0.5718,4.4369,5.9293,3.0,-5.5749,3.7572,178.3717,0.0,0.641,True,False,0.069,False,141.1,
15,0.0,4.3482,5.9223,3.0397,-5.0904,1.5203,178.4542,0.0,0.208,True,False,0.208,False,130.0,
16,0.0,4.8163,5.8833,3.0211,-6.3405,1.9884,162.2659,0.0,0.365,True,False,0.365,False,134.9,
17,0.0,4.0521,5.7558,3.0479,-6.3896,1.783,177.0673,0.0,0.805,True,False,0.805,False,127.8,
18,0.0,4.9552,5.9266,3.0491,-5.9022,1.9234,138.8178,0.0,0.0,True,True,0.0,False,138.0,
19,0.0,4.0614,5.4383,3.022,-5.8487,2.1434,175.4917,0.0,0.0,True,True,0.0,False,136.5,
20,0.0,4.5089,6.0,3.0992,-6.3636,2.1562,175.9519,0.0,0.325,True,False,0.325,False,121.9,
21,0.0,5.34,5.6865,3.1635,-5.7335,1.7121,174.1142,0.0,0.529,True,False,0.529,False,130.8,
22,0.0,5.1527,5.9984,3.0617,-5.8371,1.9384,174.0453,0.0,0.073,True,False,0.073,False,130.6,
23,0.0,4.7067,5.9963,3.0381,-5.0,2.1103,176.1485,0.0,0.0,True,True,0.0,False,143.2,
24,0.0,4.1876,6.0,3.0,-5.8713,1.7247,172.2102,0.0,0.496,True,False,0.496,False,134.0,
25,0.0,3.8594,5.9089,3.0507,-5.4219,1.4746,176.2814,0.0,0.544,True,False,0.544,False,130.2,
26,0.0,4.4521,5.6501,3.0203,-5.6807,1.9335,162.2013,0.0,0.0,True,True,0.0,False,136.3,
27,0.0,4.403,5.5215,3.0536,-6.2102,1.8305,180.0,0.0,0.82,True,False,0.82,False,134.8,
28,0.0,4.7237,5.8676,3.0386,-5.8659,2.3967,179.565,0.0,0.0,True,True,0.0,False,138.8,
29,0.0,4.5722,5.7109,3.0,-5.3077,1.9651,180.0,0.0,0.0,True,True,0.0,False,144.6,
30,0.0,4.5965,5.9892,3.0317,-5.7454,1.8147,167.7632,0.0,0.086,True,False,0.086,False,141.7,
